"user","treatment","num_applications","num_hires","prior_spend","prior_openings"
626,"1",17,1,5.72244065647473,14
627,"0",12,0,9.25288631963492,110
628,"1",10,1,6.17401524431393,26
629,"0",25,0,0,1
630,"1",0,0,7.09374509946252,46
631,"0",6,0,8.08307857753117,75
632,"0",7,0,0,3
633,"1",0,0,7.89597217602779,29
634,"1",23,0,5.93550247618791,15
635,"0",10,3,9.73005516970807,15
636,"0",1,1,0,1
637,"1",0,0,10.1735414069495,67
638,"1",13,1,0,1
639,"1",0,0,0,1
640,"1",5,3,5.03896356608311,4
641,"0",0,0,3.71357206670431,5
642,"1",19,0,0,1
643,"0",7,1,4.65357932519578,4
644,"0",2,1,5.83188247728352,4
645,"1",32,1,0,1
646,"1",19,0,7.2372316730909,69
647,"0",0,0,9.64190068581669,26
648,"0",28,1,0,1
649,"0",9,0,0,2
650,"0",14,0,0,1
651,"0",30,1,9.83509896271994,251
652,"0",89,0,0,2
653,"0",1,0,0,2
654,"0",27,0,0,1
655,"0",0,0,0,1
656,"1",15,0,8.95455611172095,96
657,"0",6,1,0,1
658,"1",22,5,9.90128963889259,125
659,"1",2,1,0,1
660,"0",39,0,0,1
661,"0",1,1,3.53631085546933,2
662,"1",21,1,3.62859852322901,19
663,"0",1,1,7.88217906069535,60
664,"0",1,0,6.97323398300923,8
665,"0",0,0,0,1
666,"1",21,1,0,1
667,"0",36,1,4.95399439338211,5
668,"0",5,0,0,1
669,"0",1,0,6.00084540891373,7
670,"1",14,1,0,2
671,"1",7,0,10.6929573547536,208
672,"0",11,0,6.7133449464908,170
673,"1",22,1,6.38195137203543,8
674,"1",1,1,7.37956352892,8
675,"0",64,1,7.01953812724133,44
676,"1",17,0,5.63586045817074,12
677,"1",17,2,7.00199215573002,3
678,"1",26,1,8.89478406426949,29
679,"1",1,1,7.59850458694208,11
680,"1",4,1,4.59511985013459,10
681,"0",5,0,0,6
682,"0",0,0,7.28000825288419,7
683,"1",1,1,6.2081271423225,2
684,"0",0,0,6.64552000619486,12
685,"1",12,0,5.56452040732269,3
686,"1",22,1,7.36521177108992,6
687,"1",0,0,0,1
688,"1",12,1,8.09600715453521,18
689,"1",4,1,9.3012399301828,397
690,"1",18,1,4.16402608542291,3
691,"1",24,1,3.97443426554954,4
692,"1",13,1,3.68712792107513,7
693,"0",0,0,10.2396390234318,52
694,"0",3,0,0,1
695,"0",1,1,0,7
696,"1",20,0,8.06965217797013,8
697,"0",5,0,6.12772035015385,18
698,"0",0,0,9.75096146900405,73
699,"0",0,0,0,1
700,"0",8,0,0,2
701,"1",19,0,7.5985547057236,33
702,"0",14,1,4.96633503519968,5
703,"0",10,1,8.37583467519508,74
704,"0",7,1,8.99236593772697,23
705,"0",11,0,3.49650756146648,4
706,"0",39,1,9.73474044460844,64
707,"0",0,0,5.83384535895437,4
708,"1",3,1,6.45305790899375,8
709,"0",12,1,4.45434729625351,4
710,"1",0,0,4.61512051684126,2
711,"1",37,0,9.94874672819171,203
712,"0",34,0,0,1
713,"1",7,0,0,1
714,"1",12,1,7.33178695666414,42
715,"0",1,0,5.53560048141597,7
716,"1",7,0,6.94419327782092,6
717,"1",10,0,0,1
718,"1",0,0,10.1363307102054,54
719,"0",37,1,0,7
720,"0",0,0,3.31926399889947,5
721,"0",3,0,0,1
722,"1",2,0,0,1
723,"0",12,1,5.82894561761021,15
724,"0",1,0,8.52258662069294,43
725,"0",3,1,6.13943186357131,12
726,"0",32,0,0,6
727,"0",6,1,5.57806806867354,26
728,"1",0,0,0,1
729,"1",1,0,0,8
730,"1",99,0,8.25906215418555,9
731,"1",2,0,0,1
732,"1",1,1,7.06921915210362,32
733,"0",6,0,0,1
734,"1",16,2,11.0692730135982,50
735,"1",75,0,5.59590026367708,41
736,"0",1,1,0,5
737,"0",0,0,11.3956593581831,69
738,"1",57,0,11.0841549841094,87
739,"1",6,0,7.14126095753786,20
740,"1",16,1,7.56385977276639,49
741,"0",0,0,7.18121164416994,5
742,"1",0,0,6.72118470789877,13
743,"0",18,3,6.48483368922448,59
744,"0",1,1,6.01045802360052,23
745,"0",0,0,6.63582843847486,35
746,"1",18,0,6.49954641020291,7
747,"0",0,0,6.51619307604296,7
748,"1",14,0,0,1
749,"1",0,0,6.05528405982094,2
750,"0",0,0,5.60664729722297,14
751,"0",29,0,6.6202465248432,19
752,"0",13,1,5.91811398035805,49
753,"0",58,0,7.4080395372684,76
754,"0",39,0,0,1
755,"1",39,1,8.26525399658077,65
756,"1",12,0,8.39835785228271,22
757,"0",20,0,7.96272911062042,47
758,"0",4,0,0,1
759,"1",23,0,9.91922358911587,16
